Country Name,"Country Code","Series Name","Series Code","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
"Korea, Rep.","KOR","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","-8.33777991699407","9.92898384480951","5.58526903313886","3.16885800406304","8.00522722247965","2.13967214332666","3.88579690978904","2.20752649204717","3.43996496854643","5.15464896482753","-0.378829204293353","1.95181038066352","6.67486923110235","0.849315185130479","2.38648276016103","3.37323470897243","2.84362617036362","5.75637968122732","4.0008511515732","3.00342052892546","1.14017763690757","0.00237604498050814","-0.0813427676406775","3.67455291708974","-0.464601280241254"
Mexico,"MEX","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","4.46822147733607","1.40292310606667","3.39686754949449","-1.71827706642421","-1.20424461708137","-0.186696064872777","2.28370975285898","0.103955305176711","3.32271042033328","0.646187843533852","-0.0598829335230135","-7.61355653820769","4.04482065163853","1.55286125541335","1.50810624453629","-1.26589811711801","1.77941152552279","1.37905152149817","0.512301853916398","0.841589776423106","0.94174260912709","-1.40069514971754","-9.65634420537621","5.96001289430484","3.56549198041725"
Netherlands,"NLD","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","3.04028152594059","5.12361703049858","3.42034930546357","0.235452626414556","-0.633547274483945","1.00028178512019","1.17738144822779","1.84950244731203","4.46508366089272","2.886601453748","-1.97416699263415","-3.07222343646157","2.98106668413165","0.951635654576648","-2.04938076840742","0.0329399329800992","0.414589872664536","2.23264684588973","0.278970628353576","3.61906930637068","2.39988469174126","-0.207540931740809","-5.63410178334549","10.77560018865","-0.304186218013967"
Russian Federation,"RUS","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","-7.07681326783376","7.11385503391328","11.6142094389486","6.99833121626754","4.66797447506373","6.54273096414673","8.5098802567438","6.39840042220004","7.88957173969025","9.47622567128379","4.50020695584634","-7.95168916707827","4.42902448952529","4.19131811264467","3.71211984171849","1.12371321363207","-0.819411024879329","-1.42064367369835","0.111183366333307","1.75637399383642","2.94750846415097","1.48920438004627","-1.48162750812266","5.79999749742672","-1.77756412046628"
Saudi Arabia,"SAU","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","-3.31550389605434","-5.25361364841916","8.4304425531902","5.9164171759831","2.60799238913889","-0.968741035119209","-1.55231797538436","2.66617484622908","-5.75915986554853","1.22464297954504","8.55368989112988","3.18877624340517","0.977464039882165","2.20252956238282","2.68802663064704","0.0324303290485801","-2.92404142634311","-0.113877285318026","-1.41002568912884","-4.12219754155949","4.50211249758759","6.65608809053468"
Spain,"ESP","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","4.69553990771206","4.42292468358806","3.79794587542088","3.11528695111053","2.45927577554792","1.93173429412408","1.22372432867594","1.70364362255036","2.00128595143907","1.39138517528717","-1.51801882750942","-2.65926892595601","-0.586339963667569","-2.45164407283075","-2.3333299762715","-0.564122688136678","1.69196918446104","4.43822156033626","3.3035410203689","2.40364092499161","1.74339085495698","1.20856808336718","-10.98394681123","6.64723458261116","2.11082205398783"
Switzerland,"CHE","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","3.51810003538687","2.10357196587651","3.54912524146731","-1.47545794015524","-1.04143941712464","3.63834165773503","1.21058516769617","3.51638344306406","2.24265226112301","-3.75418472494931","-5.88844988658728","5.54130387350145","6.52366838214209","-3.54590406002406","1.38972442774146","-0.40371648328798","-0.91390804821566","1.97954358304561","-1.97280976200778","-1.29433816568181","-0.262380550207112","0.573125654207146","-4.74984758696927","7.7689319848471","2.60511078576195"
Turkiye,"TUR","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","",""
United Kingdom,"GBR","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","4.37595229041838","2.79639997298062","2.35446693269125","2.83890644795244","1.82195032693635","2.39598253548165","0.085073840178211","1.21920285433946","-2.10987627824241","-4.00326131003953","2.74740538628933","0.388291660008449","-0.217501491756522","0.721922054628592","3.13165181529003","1.81677773752882","0.953962233955281","2.8282241578587","0.487458689568058","2.58672559939839","-12.2222028026664","11.2812460496583",""
United States,"USA","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","4.41082519367851","3.28640363695727","3.30846732890555","0.556388557611285","0.464659742102796","1.30606565382081","2.84219084591852","2.32947935363346","2.5343963312511","-0.249384589578852","-2.60552504848931","-2.4037001201803","2.78478499831733","1.26086324255226","2.64430680962711","0.8901042523581","2.47718234409801","2.34697731667315","0.480001523833891","1.99266757160579","2.34658959465665","1.88311092465369","-3.48197795302654","5.40728406388158",""
