Country Name,"Country Code","Series Name","Series Code","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
Russian Federation,"RUS","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","4.17177105079792","6.41368455148833","4.59540997581466","5.49419107792788","3.91666913858842","5.21801026092218","3.4455584775707","5.45175974098785","4.98357736476498","2.98003178484286","5.02062932579029","7.70430695485843","3.77017292383355","2.24820718932278","2.33938158803397","2.30035913857218","4.51127807037525","7.84664976040122","7.52812740033175","5.29440899664019","6.80283447904506","5.8678022613175","7.5518438093887","5.59620587844517","4.64275767419253"
Saudi Arabia,"SAU","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
Spain,"ESP","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
Switzerland,"CHE","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
Turkiye,"TUR","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","5.47482614634662","7.35876181182106","7.65477465485429","11.3526593247707","11.8122026591403","9.15811764497656","8.10715883242","8.27899438775794","7.49522127028568","7.35538335976645","7.35166320974995","9.83724494002364","7.7790824480118","7.04638555721834","6.59914449739169","6.78729788111234","6.30756658932915","6.53074265548429","8.79793372735668","10.2183504730192","10.854091054032","11.4660534625069","12.1049554426259","8.98216383143686","7.71665322401005"
United Kingdom,"GBR","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
United States,"USA","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
Afghanistan,"AFG","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","0.079456028919798","0.0867566496478682","0.0656663656402514","0.0580764275674197","0.0743981067198973","0.124142976943945","0.205272276925733","0.292136688987039","0.324902541993349","0.333475146980813","0.344998756356233","0.291266954427208","0.2283210830214","0.181132658047124",""
Albania,"ALB","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","0.81698017738474","0.779443688530111","0.837415903021545","0.978010698700987","1.36419925174657","0.994083805689177","1.03374937483397","1.27709378458561","1.97836504983147","1.60027924766763","1.95343779914185","2.06027532917732","3.22263901515014","3.74210558413208","4.43691394118377","4.23444805398444","5.48833215482098","10.2405835427346","4.89808174099937","3.93088903458473","7.1725475279512","4.20690380931844","7.6656513075063","4.99863607948526","3.9351843282986"
Algeria,"DZA","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","11.1091628076938","11.2243071691886","8.59095955210506","8.23753859211625","7.64364225074006","6.59340404203451","7.02735799063952","6.10253744185755","11.9329105278787","1.02778124830019","0.734246148091245","0.77712141498294","0.420618176246908","0.32310246892925","0.41444635748679","0.261190062841472","0.143392590919993","0.427511633389503","0.225055046096671","0.143015283496217","0.127365163733373","0.116200342692844","0.122570148709319","0.119695236994142","0.161097465992916"
